Genus_species,mycorrhizal state
Carex_heleonastes,NM
Carex_hirta,AMNM
Carex_hostiana,NM
Carex_humilis,NM
Carex_hystericina,NM
Carex_interior,NM
Carex_lachenalii,NM
Carex_lasiocarpa,AMNM
Carex_lepidocarpa,NM
Carex_limosa,NM
Carex_lurida,AM
Carex_maritima,NM
Carex_membranacea,NM
Carex_mertensii,NM
Carex_microchaeta,NM
Carex_montana,NM
Carex_muricata,AMNM
Carex_nardina,NM
Carex_obtusata,NM
Carex_orbicularis,NM
Carex_otrubae,NM
Carex_oxyandra,NM
Carex_pallescens,AMNM
Carex_panicea,AMNM
Carex_pauciflora,NM
Carex_pendula,NM
Carex_pensylvanica,AM
Carex_physodes,NM
Carex_pilosa,NM
Carex_podocarpa,NM
Carex_pseudocyperus,NM
Carex_pyrenaica,NM
Carex_remota,AMNM
Carex_riparia,NM
Carex_rosea,AM
Carex_rostrata,NM
Carex_rupestris,NM
Carex_spicata,NM
Carex_stenophylla,NM
Carex_sterilis,NM
Carex_stipata,AM
Carex_stricta,AMNM
Carex_supina,NM
Carex_sylvatica,NM
Carex_tenuiflora,NM
Carex_tribuloides,AM
Carex_trichocarpa,AM
Carex_trifida,NM
Carex_vaginata,NM
Carex_vesicaria,AMNM
Carex_viridula,NM
Carex_vulpina,NM
Carex_vulpinoidea,AM
Carica_papaya,AM
Cariniana_estrellensis,AM
Carlemannia_tetragona,AM
Carlina_biebersteinii,AM
Carlina_vulgaris,AM
Carlowrightia_arizonica,AM
Carpinus_betulus,EM
Carpinus_cordata,EM
Carpinus_orientalis,EM
Carthamus_tinctorius,AM
Carum_carvi,AMNM
Carya_illinoinensis,EM
Caryocar_glabrum,AM
Casearia_sylvestris,AM
Cassia_grandis,AM
Castanea_sativa,EM
Castanopsis_indica,AMNM
Castanospermum_australe,AM
Casuarina_cunninghamiana,EM
Casuarina_equisetifolia,EM
Catabrosa_aquatica,NM
Catalpa_bungei,AM
Catharanthus_roseus,AM
Catostemma_fragrans,AM
Caustis_dioica,NM
Cayratia_japonica,AM
Ceanothus_americanus,AM
Cedrela_fissilis,AM
Cedrus_atlantica,EM
Cedrus_deodara,EM
