binominal,root_order,RD,SRL,references,genus,species,family,order
Acer saccharum,1.0,-1.4958900398408617,3.959630610332453,"<ArrowStringArray>
[' Valverde-Barrantes OJ, Smemo KA, Blackwood CB. 2014. Fine root morphology is phylogenetically structured, but nitrogen is related to the plant economics spectrum in temperate trees. Functional Ecology 29: 796-807.',
                                                'McCormack ML, Adams TS, Smithwick EAH, Eissenstat DM. 2012. Predicting fine root lifespan from plant functional traits in temperate trees. New Phytologist 195:823-831.',
                                                   'Pregitzer KS, DeForest JL, Burton AJ, Allen MF, Ruess RW, Hendrick RL. 2002. Fine root architecture of nine North American trees. Ecological Monographs 72: 293-309.',
                                                                                                                                                                                           'Valverde et al (unpublished)']
Length: 4, dtype: str",Acer,saccharum,Sapindaceae,Sapindales
Acer tataricum,1.0,-1.5155295123913795,4.876593896355516,"<ArrowStringArray>
['Shi W, Wang ZQ, Liu JL, Gu JC, Guo DL. 2008. Fine root morphology of twenty hardwood species in Maoershan Natural Secondary Forest in Northeastern China. Journal of Plant Ecology (Chinese Version) 32: 1217-1226.', 'Wang R, Wang Q, Zhao N, Xu Z, Zhu X, Jiao C, Yu G, He N. 2018. Different phylogenetic and environmental controls of first-order root morphological and nutrient traits: Evidence of multidimensional root traits. Special Focus on Functional Traits Along A Transect 32(1): 29-39.']
Length: 2, dtype: str",Acer,tataricum,Sapindaceae,Sapindales
Acer tegmentosum,1.0,-1.163794021421928,4.450033256242896,"<ArrowStringArray>
['Shi W, Wang ZQ, Liu JL, Gu JC, Guo DL. 2008. Fine root morphology of twenty hardwood species in Maoershan Natural Secondary Forest in Northeastern China. Journal of Plant Ecology (Chinese Version) 32: 1217-1226.', 'Wang R, Wang Q, Zhao N, Xu Z, Zhu X, Jiao C, Yu G, He N. 2018. Different phylogenetic and environmental controls of first-order root morphological and nutrient traits: Evidence of multidimensional root traits. Special Focus on Functional Traits Along A Transect 32(1): 29-39.']
Length: 2, dtype: str",Acer,tegmentosum,Sapindaceae,Sapindales
Acer triflorum,1.0,-1.452006904485272,4.70622041830678,"<ArrowStringArray>
['Wang R, Wang Q, Zhao N, Xu Z, Zhu X, Jiao C, Yu G, He N. 2018. Different phylogenetic and environmental controls of first-order root morphological and nutrient traits: Evidence of multidimensional root traits. Special Focus on Functional Traits Along A Transect 32(1): 29-39.']
Length: 1, dtype: str",Acer,triflorum,Sapindaceae,Sapindales
Acer truncatum,1.0,-1.3578264410526426,4.081728383535411,"<ArrowStringArray>
['Chen W, Zeng H, Eissenstat DM, Guo D. 2013. Variation of first-order root traits across climatic gradients and evolutionary trends in geological time. Global Ecology and Biogeography 22: 846-856.']
Length: 1, dtype: str",Acer,truncatum,Sapindaceae,Sapindales
Acronychia pedunculata,1.0,-1.2423152366141288,4.43844831886184,"<ArrowStringArray>
['Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872.', 'Chen W, Zeng H, Eissenstat DM, Guo D. 2013. Variation of first-order root traits across climatic gradients and evolutionary trends in geological time. Global Ecology and Biogeography 22: 846-856.']
Length: 2, dtype: str",Acronychia,pedunculata,Rutaceae,Sapindales
Actaea cimicifuga,1.0,-1.3203193721963578,4.763139807722203,"<ArrowStringArray>
['Wang R, Wang Q, Zhao N, Xu Z, Zhu X, Jiao C, Yu G, He N. 2018. Different phylogenetic and environmental controls of first-order root morphological and nutrient traits: Evidence of multidimensional root traits. Special Focus on Functional Traits Along A Transect 32(1): 29-39.']
Length: 1, dtype: str",Actaea,cimicifuga,Ranunculaceae,Ranunculales
Actinidia kolomikta,1.0,-1.4696759700589417,5.413981572847829,"<ArrowStringArray>
['Wang R, Wang Q, Zhao N, Xu Z, Zhu X, Jiao C, Yu G, He N. 2018. Different phylogenetic and environmental controls of first-order root morphological and nutrient traits: Evidence of multidimensional root traits. Special Focus on Functional Traits Along A Transect 32(1): 29-39.']
Length: 1, dtype: str",Actinidia,kolomikta,Actinidiaceae,Ericales
Adenocaulon himalaicum,1.0,-1.7521542146356957,5.262232519941716,"<ArrowStringArray>
['Wang R, Wang Q, Zhao N, Xu Z, Zhu X, Jiao C, Yu G, He N. 2018. Different phylogenetic and environmental controls of first-order root morphological and nutrient traits: Evidence of multidimensional root traits. Special Focus on Functional Traits Along A Transect 32(1): 29-39.']
Length: 1, dtype: str",Adenocaulon,himalaicum,Asteraceae,Asterales
Adiantum pedatum,1.0,-1.2092224596858088,5.095985882628778,"<ArrowStringArray>
['Dong X, Wang H, Gu J, Wang Y, Wang Z. 2014. Root morphology, histology and chemistry of nine fern species (pteridophyta) in a temperate forest. Plant Soil 393: 215-227.', 'Wang R, Wang Q, Zhao N, Xu Z, Zhu X, Jiao C, Yu G, He N. 2018. Different phylogenetic and environmental controls of first-order root morphological and nutrient traits: Evidence of multidimensional root traits. Special Focus on Functional Traits Along A Transect 32(1): 29-39.']
Length: 2, dtype: str",Adiantum,pedatum,Pteridaceae,Polypodiales
Adina pilulifera,1.0,-1.9834043534828938,6.363496743711504,"<ArrowStringArray>
['Wang R, Wang Q, Zhao N, Xu Z, Zhu X, Jiao C, Yu G, He N. 2018. Different phylogenetic and environmental controls of first-order root morphological and nutrient traits: Evidence of multidimensional root traits. Special Focus on Functional Traits Along A Transect 32(1): 29-39.']
Length: 1, dtype: str",Adina,pilulifera,Rubiaceae,Gentianales
Aesculus hippocastanum,1.0,-1.3023237776603893,2.9681729912394377,"<ArrowStringArray>
[' Valverde-Barrantes OJ, Smemo KA, Blackwood CB. 2014. Fine root morphology is phylogenetically structured, but nitrogen is related to the plant economics spectrum in temperate trees. Functional Ecology 29: 796-807.', 'Valverde et al (unpublished)']
Length: 2, dtype: str",Aesculus,hippocastanum,Sapindaceae,Sapindales
Aesculus parviflora,1.0,-1.580007225195049,3.765818153565306,"<ArrowStringArray>
[' Valverde-Barrantes OJ, Smemo KA, Blackwood CB. 2014. Fine root morphology is phylogenetically structured, but nitrogen is related to the plant economics spectrum in temperate trees. Functional Ecology 29: 796-807.', 'Valverde et al (unpublished)']
Length: 2, dtype: str",Aesculus,parviflora,Sapindaceae,Sapindales
Agrimonia pilosa,1.0,-1.4850103340590484,5.086378117704167,"<ArrowStringArray>
['Wang R, Wang Q, Zhao N, Xu Z, Zhu X, Jiao C, Yu G, He N. 2018. Different phylogenetic and environmental controls of first-order root morphological and nutrient traits: Evidence of multidimensional root traits. Special Focus on Functional Traits Along A Transect 32(1): 29-39.']
Length: 1, dtype: str",Agrimonia,pilosa,Rosaceae,Rosales
Aidia oxyodonta,1.0,-2.5966569634591274,5.251540174989108,"<ArrowStringArray>
['Chen W, Zeng H, Eissenstat DM, Guo D. 2013. Variation of first-order root traits across climatic gradients and evolutionary trends in geological time. Global Ecology and Biogeography 22: 846-856.']
Length: 1, dtype: str",Aidia,oxyodonta,Rubiaceae,Gentianales
Alangium chinense,1.0,-2.3735441819345398,5.135268885097667,"<ArrowStringArray>
['Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872.']
Length: 1, dtype: str",Alangium,chinense,Cornaceae,Cornales
Alchornea tiliifolia,1.0,-1.8971199848858813,5.63645607098297,"<ArrowStringArray>
['Chen W, Zeng H, Eissenstat DM, Guo D. 2013. Variation of first-order root traits across climatic gradients and evolutionary trends in geological time. Global Ecology and Biogeography 22: 846-856.']
Length: 1, dtype: str",Alchornea,tiliifolia,Euphorbiaceae,Malpighiales
Alchornea trewioides,1.0,-1.369240606554063,4.527772527776599,"<ArrowStringArray>
['Wang R, Wang Q, Zhao N, Xu Z, Zhu X, Jiao C, Yu G, He N. 2018. Different phylogenetic and environmental controls of first-order root morphological and nutrient traits: Evidence of multidimensional root traits. Special Focus on Functional Traits Along A Transect 32(1): 29-39.']
Length: 1, dtype: str",Alchornea,trewioides,Euphorbiaceae,Malpighiales
Allophylus cobbe,1.0,-1.8568101214823827,4.318421011584911,"<ArrowStringArray>
['Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872.']
Length: 1, dtype: str",Allophylus,cobbe,Sapindaceae,Sapindales
Alniphyllum fortunei,1.0,-1.2536037968925091,4.480711519573874,"<ArrowStringArray>
[                                                                                                                'Liu B, Li H, Zhu B, Koide RT, Eissenstat DM, Guo D. 2015. Complementarity between roots and AM fungi in nutrient foraging strategies. New Phytologist 208: 125-136.',
                                                                                                 'Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872.',
 'Wang R, Wang Q, Zhao N, Xu Z, Zhu X, Jiao C, Yu G, He N. 2018. Different phylogenetic and environmental controls of first-order root morphological and nutrient traits: Evidence of multidimensional root traits. Special Focus on Functional Traits Along A Transect 32(1): 29-39.']
Length: 3, dtype: str",Alniphyllum,fortunei,Styracaceae,Ericales
Alnus formosana,1.0,-1.2321424604362348,5.312971321708953,"<ArrowStringArray>
['Miao Y, Chen YL, Li XW, Fan C, Liu YK, Yang ZJ, Zhang J, Cai XL. 2013. Effects of fertilization on Alnus formosana fine root morphological characteristics, biomass and issue content of C, N under A. formosana-Hemarthria compressa compound mode. Chinese Journal of Plant Ecology 37: 674-683.']
Length: 1, dtype: str",Alnus,formosana,Betulaceae,Fagales
Alnus hirsuta,1.0,-1.4116079229593492,4.243669755378868,"<ArrowStringArray>
['Shi W, Wang ZQ, Liu JL, Gu JC, Guo DL. 2008. Fine root morphology of twenty hardwood species in Maoershan Natural Secondary Forest in Northeastern China. Journal of Plant Ecology (Chinese Version) 32: 1217-1226.']
Length: 1, dtype: str",Alnus,hirsuta,Betulaceae,Fagales
Alnus mandshurica,1.0,-1.6251807227509556,4.691245507264235,"<ArrowStringArray>
['Shi W, Wang ZQ, Liu JL, Gu JC, Guo DL. 2008. Fine root morphology of twenty hardwood species in Maoershan Natural Secondary Forest in Northeastern China. Journal of Plant Ecology (Chinese Version) 32: 1217-1226.']
Length: 1, dtype: str",Alnus,mandshurica,Betulaceae,Fagales
Alpinia japonica,1.0,-1.7781524658218382,5.505626207959451,"<ArrowStringArray>
['Wang R, Wang Q, Zhao N, Xu Z, Zhu X, Jiao C, Yu G, He N. 2018. Different phylogenetic and environmental controls of first-order root morphological and nutrient traits: Evidence of multidimensional root traits. Special Focus on Functional Traits Along A Transect 32(1): 29-39.']
Length: 1, dtype: str",Alpinia,japonica,Zingiberaceae,Zingiberales
Alstonia scholaris,1.0,-0.6468362776966949,3.248822901236153,"<ArrowStringArray>
['Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872.']
Length: 1, dtype: str",Alstonia,scholaris,Apocynaceae,Gentianales
Altingia gracilipes,1.0,-0.8076354230135604,2.566897930067926,"<ArrowStringArray>
['Xiong D, Huang J, Yang Z, Lu Z, Chen G, Yang Y. 2012. Fine root architecture and morphology among different branch orders of six subtropical tree species. Acta Ecologica Sinica 32: 1888-1897.']
Length: 1, dtype: str",Altingia,gracilipes,Altingiaceae,Saxifragales
Altingia obovata,1.0,-1.1718990345819649,3.918454412918559,"<ArrowStringArray>
['Xu Y, Gu JC, Dong XY, Liu Y, Wang ZQ. 2011. Fine root morphology, anatomy and tissue nitrogen and carbon contents of the first five orders in four tropical hardwood species in Hainan Island, China. Chinese Journal of Plant Ecology 35:955-964.']
Length: 1, dtype: str",Altingia,obovata,Altingiaceae,Saxifragales
Anaphalis aureopunctata,1.0,-1.98813938327305,6.172024135880895,"<ArrowStringArray>
['Wang R, Wang Q, Zhao N, Xu Z, Zhu X, Jiao C, Yu G, He N. 2018. Different phylogenetic and environmental controls of first-order root morphological and nutrient traits: Evidence of multidimensional root traits. Special Focus on Functional Traits Along A Transect 32(1): 29-39.']
Length: 1, dtype: str",Anaphalis,aureopunctata,Asteraceae,Asterales
Anaphalis hancockii,1.0,-1.7220468568167546,5.7678769869239215,"<ArrowStringArray>
['Wang R, Wang Q, Zhao N, Xu Z, Zhu X, Jiao C, Yu G, He N. 2018. Different phylogenetic and environmental controls of first-order root morphological and nutrient traits: Evidence of multidimensional root traits. Special Focus on Functional Traits Along A Transect 32(1): 29-39.']
Length: 1, dtype: str",Anaphalis,hancockii,Asteraceae,Asterales
Antidesma maclurei,1.0,-0.909985650739561,2.995232148512309,"<ArrowStringArray>
['Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872.']
Length: 1, dtype: str",Antidesma,maclurei,Phyllanthaceae,Malpighiales
Aphanamixis polystachya,1.0,-1.7514081723485555,5.14913363092185,"<ArrowStringArray>
['Chen W, Zeng H, Eissenstat DM, Guo D. 2013. Variation of first-order root traits across climatic gradients and evolutionary trends in geological time. Global Ecology and Biogeography 22: 846-856.']
Length: 1, dtype: str",Aphanamixis,polystachya,Meliaceae,Sapindales
Aporosa octandra,1.0,-1.0034293896909183,3.3724549127965013,"<ArrowStringArray>
['Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872.']
Length: 1, dtype: str",Aporosa,octandra,Phyllanthaceae,Malpighiales
Aporosa yunnanensis,1.0,-1.341952169769155,4.181223737980477,"<ArrowStringArray>
['Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872.', 'Wang R, Wang Q, Zhao N, Xu Z, Zhu X, Jiao C, Yu G, He N. 2018. Different phylogenetic and environmental controls of first-order root morphological and nutrient traits: Evidence of multidimensional root traits. Special Focus on Functional Traits Along A Transect 32(1): 29-39.']
Length: 2, dtype: str",Aporosa,yunnanensis,Phyllanthaceae,Malpighiales
Archidendron clypearia,1.0,-1.306263961214402,4.2531984503199265,"<ArrowStringArray>
['Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872.']
Length: 1, dtype: str",Archidendron,clypearia,Fabaceae,Fabales
Archidendron lucidum,1.0,-1.3449221180141588,4.07567129695648,"<ArrowStringArray>
['Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872.']
Length: 1, dtype: str",Archidendron,lucidum,Fabaceae,Fabales
Ardisia depressa,1.0,-1.4508328822574619,4.163815965105749,"<ArrowStringArray>
['Chen W, Zeng H, Eissenstat DM, Guo D. 2013. Variation of first-order root traits across climatic gradients and evolutionary trends in geological time. Global Ecology and Biogeography 22: 846-856.']
Length: 1, dtype: str",Ardisia,depressa,Primulaceae,Ericales
Ardisia japonica,1.0,-1.469241281940817,4.620057234933822,"<ArrowStringArray>
['Wang R, Wang Q, Zhao N, Xu Z, Zhu X, Jiao C, Yu G, He N. 2018. Different phylogenetic and environmental controls of first-order root morphological and nutrient traits: Evidence of multidimensional root traits. Special Focus on Functional Traits Along A Transect 32(1): 29-39.']
Length: 1, dtype: str",Ardisia,japonica,Primulaceae,Ericales
Ardisia quinquegona,1.0,-0.8675005677047231,3.0007198150650303,"<ArrowStringArray>
['Wang J-J, Tharayil N, Chow AT, Suseela V, Zeng H. 2015. Phenolic profile within the fine-root branching orders of an evergreen species highlights a disconnect in root tissue quality predicted by elemental- and molecular-level carbon composition. New Phytologist 206: 1261-1273.']
Length: 1, dtype: str",Ardisia,quinquegona,Primulaceae,Ericales
Artemisia halodendron,1.0,-1.0216512475319814,2.792391349535961,"<ArrowStringArray>
['Huang G, Zhao  X-Y, Zhao H-L, Huang Y-X, Zuo X-A. 2010. Linking root morphology, longevity and function to root branch order: a case study in three shrubs. Plant Soil 336: 197-208.']
Length: 1, dtype: str",Artemisia,halodendron,Asteraceae,Asterales
Artemisia igniaria,1.0,-1.7885645783315358,5.318869012769295,"<ArrowStringArray>
['Wang R, Wang Q, Zhao N, Xu Z, Zhu X, Jiao C, Yu G, He N. 2018. Different phylogenetic and environmental controls of first-order root morphological and nutrient traits: Evidence of multidimensional root traits. Special Focus on Functional Traits Along A Transect 32(1): 29-39.']
Length: 1, dtype: str",Artemisia,igniaria,Asteraceae,Asterales
Artemisia mongolica,1.0,-1.795165262362888,5.276430365583576,"<ArrowStringArray>
['Wang R, Wang Q, Zhao N, Xu Z, Zhu X, Jiao C, Yu G, He N. 2018. Different phylogenetic and environmental controls of first-order root morphological and nutrient traits: Evidence of multidimensional root traits. Special Focus on Functional Traits Along A Transect 32(1): 29-39.']
Length: 1, dtype: str",Artemisia,mongolica,Asteraceae,Asterales
Artocarpus styracifolius,1.0,-1.262449734084912,3.5421180727185324,"<ArrowStringArray>
['Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872.']
Length: 1, dtype: str",Artocarpus,styracifolius,Moraceae,Rosales
Asimina triloba,1.0,-0.6446978458948621,2.606252773433732,"<ArrowStringArray>
[' Valverde-Barrantes OJ, Smemo KA, Blackwood CB. 2014. Fine root morphology is phylogenetically structured, but nitrogen is related to the plant economics spectrum in temperate trees. Functional Ecology 29: 796-807.', 'Valverde et al (unpublished)']
Length: 2, dtype: str",Asimina,triloba,Annonaceae,Magnoliales
Asparagus schoberioides,1.0,-1.0708998501015738,4.78553148940686,"<ArrowStringArray>
['Wang R, Wang Q, Zhao N, Xu Z, Zhu X, Jiao C, Yu G, He N. 2018. Different phylogenetic and environmental controls of first-order root morphological and nutrient traits: Evidence of multidimensional root traits. Special Focus on Functional Traits Along A Transect 32(1): 29-39.']
Length: 1, dtype: str",Asparagus,schoberioides,Asparagaceae,Asparagales
Aster tataricus,1.0,-1.6245515502441485,5.694102440602895,"<ArrowStringArray>
['Wang R, Wang Q, Zhao N, Xu Z, Zhu X, Jiao C, Yu G, He N. 2018. Different phylogenetic and environmental controls of first-order root morphological and nutrient traits: Evidence of multidimensional root traits. Special Focus on Functional Traits Along A Transect 32(1): 29-39.']
Length: 1, dtype: str",Aster,tataricus,Asteraceae,Asterales
Astilbe rivularis,1.0,-0.9564618965634318,3.6047036853482144,"<ArrowStringArray>
['Wang R, Wang Q, Zhao N, Xu Z, Zhu X, Jiao C, Yu G, He N. 2018. Different phylogenetic and environmental controls of first-order root morphological and nutrient traits: Evidence of multidimensional root traits. Special Focus on Functional Traits Along A Transect 32(1): 29-39.']
Length: 1, dtype: str",Astilbe,rivularis,Saxifragaceae,Saxifragales
Astilbe rubra,1.0,-1.7620065110787073,5.3774425203207885,"<ArrowStringArray>
['Wang R, Wang Q, Zhao N, Xu Z, Zhu X, Jiao C, Yu G, He N. 2018. Different phylogenetic and environmental controls of first-order root morphological and nutrient traits: Evidence of multidimensional root traits. Special Focus on Functional Traits Along A Transect 32(1): 29-39.']
Length: 1, dtype: str",Astilbe,rubra,Saxifragaceae,Saxifragales
Athyrium multidentatum,1.0,-1.4987590025403477,4.919563036334691,"<ArrowStringArray>
['Dong X, Wang H, Gu J, Wang Y, Wang Z. 2014. Root morphology, histology and chemistry of nine fern species (pteridophyta) in a temperate forest. Plant Soil 393: 215-227.']
Length: 1, dtype: str",Athyrium,multidentatum,Athyriaceae,Polypodiales
Athyrium sinense,1.0,-1.3262144109042224,4.755675483475596,"<ArrowStringArray>
['Dong X, Wang H, Gu J, Wang Y, Wang Z. 2014. Root morphology, histology and chemistry of nine fern species (pteridophyta) in a temperate forest. Plant Soil 393: 215-227.']
Length: 1, dtype: str",Athyrium,sinense,Athyriaceae,Polypodiales
Athyrium spinulosum,1.0,-1.7369169717199753,5.462427447342916,"<ArrowStringArray>
['Dong X, Wang H, Gu J, Wang Y, Wang Z. 2014. Root morphology, histology and chemistry of nine fern species (pteridophyta) in a temperate forest. Plant Soil 393: 215-227.']
Length: 1, dtype: str",Athyrium,spinulosum,Athyriaceae,Polypodiales
